fact_key,video_sk,channel_sk,views_count,likes_count,dislikes_count,comments_count,engagement_rate,virtual_revenue,grab_date,_batch_id
1,1,1255,10500,92,2,0,0.009,21.0,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
2,2,6845,137862,360,55,0,0.003,275.72,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3,3,-1,37874,522,32,0,0.0146,75.75,2019-11-18 10:09:36.197,run_initial_20260725_085047_7fde
4,4,13701,111146,865,57,0,0.0083,222.29,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
5,5,2151,105978,407,53,0,0.0043,211.96,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
6,6,10769,6156314,10000,1200,0,0.0018,12312.63,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
7,7,10632,1666608,2700,280,0,0.0018,3333.22,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
8,8,3968,6425,58,6,0,0.01,12.85,2019-11-21 19:43:01.350,run_initial_20260725_085047_7fde
9,9,6322,92613,989,38,0,0.0111,185.23,2019-11-18 23:37:35.033,run_initial_20260725_085047_7fde
10,10,-1,56818,116,27,0,0.0025,113.64,2019-11-20 13:53:53.950,run_initial_20260725_085047_7fde
11,11,-1,238139,383,21,0,0.0017,476.28,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
12,12,7074,10542,210,2,1,0.0202,21.08,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
13,13,-1,109000,340,32,0,0.0034,218.0,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
14,14,-1,1474,24,13,0,0.0251,2.95,2019-11-20 15:55:46.943,run_initial_20260725_085047_7fde
15,15,6261,2587,8,2,0,0.0039,5.17,2019-11-19 05:01:15.440,run_initial_20260725_085047_7fde
16,16,11161,76765684,889000,26000,0,0.0119,153531.37,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
17,17,-1,82733,284,28,0,0.0038,165.47,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
18,18,13213,614171,2400,229,0,0.0043,1228.34,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
19,19,8732,20675,161,17,0,0.0086,41.35,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
20,20,9575,1799193,9400,195,0,0.0053,3598.39,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
21,21,8152,1019446,0,0,0,0.0,2038.89,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
22,22,-1,25238,209,11,0,0.0087,50.48,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
23,23,12045,654629,1600,557,0,0.0033,1309.26,2019-11-19 09:08:28.120,run_initial_20260725_085047_7fde
