category_id,total_videos,total_views,total_likes,average_length,top_video_title,updated_at
234laptop,1,704506,10000,941.37,"BMW i3 REx roadtrip, charging, coding, and range test.",2026-07-25 11:35:17.479934
A Eris,1,171435,10000,746.2,SAĞLAM PSİKOLOJİYE SAHİP İNSANLARIN 7 ÖZELLİĞİ,2026-07-25 11:35:17.479934
A w a i H a n a,1,2763698,91000,1754.69,MASTERCHEF MEHMET İLE ŞIRDAN YAPTIK #UstaÇırak,2026-07-25 11:35:17.479934
A. M. A.,1,1379327,29000,1857.96,Bu Sohbeti SAKIN İzleme Sinirlerin Alt Üst Olur  |  Mehmet Yıldız,2026-07-25 11:35:17.479934
ALUX TAIWAN,1,229541,1200,42.4,Watch Extra Credits - Because Learning Matters,2026-07-25 11:35:17.479934
ARSamogin,1,17910494,462000,721.12,World's Lightest Solid!,2026-07-25 11:35:17.479934
Abdalluh Ahmad,1,107274,5700,1540.24,"Battle of Yarmouk, 636 ⚔️ Part 2/2",2026-07-25 11:35:17.479934
Abhay Mhatre,1,1892756,24000,592.4,Why Did Korea Split in to North and South?,2026-07-25 11:35:17.479934
Abriam Buggs,1,995280,8900,1554.28,Shenzhen: City of the Future. The high-tech life of China’s Silicon Valley,2026-07-25 11:35:17.479934
Adriano FERREIRA SCHIAVON,1,2320972,56000,605.67,Why Public Transportation Sucks in the US,2026-07-25 11:35:17.479934
Ahmad Mazen Tabbaa,1,2916851,43000,1058.28,Zu Gast bei einer muslimischen Familie | Galileo | ProSieben,2026-07-25 11:35:17.479934
Ahmed Gassama Productions,2,348938,10800,1004.42,Waterloo - The Truth behind Napoleon's final defeat,2026-07-25 11:35:17.479934
Ahmed Mostafa,1,2480254,25000,491.19,The Judge's Daughter and The Law Abiding Parking Person,2026-07-25 11:35:17.479934
Ahtisham Zul,1,204097,7500,1802.8,History Of Pakistan | What Happened in 1965 # 05 | Faisal Warraich,2026-07-25 11:35:17.479934
Akash Nair,1,2156425,58000,601.93,Sadhguru - Learn How To Sleep Correctly | TRY IT TONIGHT!,2026-07-25 11:35:17.479934
Aki,1,1680047,39000,560.5,How Elon Saved SpaceX & Tesla ... At The Same Time,2026-07-25 11:35:17.479934
