comment_id,text,author_name,author_channel_id,published_time,like_count,video_id,grab_date,_cleansed_at,_batch_id
UgzJ3_XWqSuTw3PY8Xd4AaABAg,uhhh heavy chested???,Payge,UCpbS_a0gEsYDvNgno9BkX-w,1 il əvvəl,0,IsssgiUOO70,2019-11-22 09:40:44.803,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgxB21O7t4AxTM64Dox4AaABAg,Güzel :),Anime & Game,UC3Gkl7gkAt_n4T8zVuL4_Hg,4 ay əvvəl,1,49AKRX4V5XI,2019-11-22 07:45:18.520,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugx3wZPdLbEyiVqqaBp4AaABAg,4:26,nekodansyaku55,UCeUZBMkMvF-vlTwZTcYjHiA,5 ay əvvəl,0,cvru2ElYYuU,2019-11-14 01:07:55.673,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugzj3_iom8jjPepu3B94AaABAg,inşallah kilo verir amin,ÖLÜMCÜL TV,UCJHS9EfoGo-cjWJzsH2i1Ow,2 il əvvəl,0,7u_SxSYNHq8,2019-11-17 16:07:25.193,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugxs1rfEaAB82y52rmp4AaABAg,Karnima ağrılar girerek izledim resmen,Ayşegül Arslan,UCJ0wIKaxyyWJWCiYArZSuHA,5 ay əvvəl,0,6X2d2QeKs6A,2019-11-17 08:54:45.260,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugxs1RTEO9IN9M7e_ad4AaABAg,5:24,nati tajes,UCnD7QJG4nhTyQCgwh4xUWjQ,5 ay əvvəl,0,0FcCgp6brq4,2019-11-13 23:10:49.447,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzlPJD8-e_eSB2cCiB4AaABAg,Other tips,Crazy Supremer,UCqLP4u53Pc-HsVGP42H662Q,5 ay əvvəl (redaktə edilib),2,HPcy3onpRFo,2019-11-13 11:13:02.563,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgyMESZVXIJ3_EOnijx4AaABAg,let kill more Religion and Freedom - Viva haha,Hao Dinh,UClDRnf4EjzYzHRQAl_uMjwQ,5 ay əvvəl,0,-d5CriKhRVA,2019-11-14 02:34:10.090,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzpWc8ZhRaFLe9lL_N4AaABAg,50 views and 197 likes,Rolling,UCWIHepWws3oKsOQj-nsnqIw,1 il əvvəl (redaktə edilib),4,HPcy3onpRFo,2019-11-13 11:13:22.433,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzBCGWvCIRikEqH2v54AaABAg,The cup of covfefe runneth over.!✌🤠👍🇺🇸,free man,UC2sXoWFzvT1LE8oni6mBG8Q,8 ay əvvəl,0,CQYPEo4cfyk,2019-11-22 08:14:10.337,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzBChbWH6vQMdt8zlh4AaABAg,yıldız bokunu ye yalaka ibo,Nedim Ay,UCd1dKXHkg5nUqiqg10qQRhQ,1 il əvvəl,0,DT7h5ZPZ-MA,2019-11-17 15:25:12.467,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugy8W4C6hMVa6IZJewl4AaABAg,I love you crafty panda,cherry rainbow,UCHa0u5GyTcoZ-f-v1F0zMdw,1 ay əvvəl,2,5ut9tUb5FQ8,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgztCSy8bncsU7Q1GSh4AaABAg,"Holy cow, this really works. I'm easily distracted and this really helps me keep forward motion. I know, I know, back to work! :-)",Anna Cody,UCs15LGYxkvXW7k71X0dZjaQ,7 ay əvvəl,0,g1LNTAdIi8k,2019-11-22 09:14:36.933,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugzbf5alqV8h-ZGf9h54AaABAg,At one point in time of my life I literally forgot the sky was blue. I had stopped looking at the sky for a while and then one day I looked up and the sky was blue lol,Mr. Catty,UCKpIbbAaqqg6areXAsE8D-w,3 ay əvvəl,0,gGaxo98yHuI,2019-11-14 00:51:12.503,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugwv2w5_D-FpVyK6Bmh4AaABAg,I'll bet that the DON shuts down the government  in early December  when the  budget is due   if his WALL is not paid in full /FULL  - Christmas is coming and the Dims will take a vicious   body blow  before the end of the year ?? Amongst other things like Immigration  ?? the Dims are in trouble  ???,Oliver Phippen,UCLkG8NFWvCQ3lvZfHvouaKg,11 ay əvvəl,0,C52KwezyGBM,2019-11-17 09:06:53.177,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwMrDsAAw6QvIsiDgt4AaABAg,"Günde 2, 2.5 lt su için. Su içmek çok önemli.",Sultan EREN,UCqlxAlO7ReoUHwNeHg7RU3g,10 ay əvvəl,0,BU8sU9EKXDo,2019-11-14 01:32:38.310,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugw1gfEAudUmnY8DxWF4AaABAg,Kırmızılı teyze hiç yapamıyor,Çekdar Arslan,UCJjABiXwWJ_c4faZ3iMpcjw,5 ay əvvəl,1,6X2d2QeKs6A,2019-11-17 08:54:17.263,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzjurN41aE-cLT-L294AaABAg,Aaffrin,Raja Sikandar,UCUpvm4yTJ8HmnBbhMUBcB2Q,1 ay əvvəl,0,CaC-yrNUMlc,2019-11-22 09:01:06.923,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgyUhRqVD1yNOd8JsaN4AaABAg,"Pitch, bank and yaw 🇺🇸",Gary Pugh,UC_r5rqUqAP2s5l0L-cJJiVQ,1 ay əvvəl,0,1VPfZ_XzisU,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgyuhRNKp-NjvRcliAV4AaABAg,انت احلى من غير مكياج والله انا لاحضت والي عجبو لون  عيونها يعمل لايك 👍👍👍😍😍😍😍😍😍⁦🇩🇿⁩⁦🇩🇿⁩⁦🇩🇿⁩⁦🇩🇿⁩⁦🇩🇿⁩ اختكم  جزائريه,يحيا و ناس تلمسان ناس الهمه والشان,UCW3_l018KikIPryyknV64-Q,1 il əvvəl (redaktə edilib),471,6dRnzVxPRGg,2019-11-17 09:11:43.367,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgyuHRNmgvBpRqj3VWx4AaABAg,Allah senden razı olsun REİS bu Avrupalı ve Amerikalı soysuzlarla mücadele ettiği için ve CHP zihniyeti HDPkk ile mücadele ettiği için Allah uzun ömürler versin inşallah 🤘🤘🤘🤘🤘🤘🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,Ayhan Tanrıverdi,UCA5SyQzYtlBGJjXO6bFiP4g,2 gün əvvəl (redaktə edilib),0,bolv9KmA-5s,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwXKNAYWEtnh2PtjI54AaABAg,طيب اذا هوة تعرا مين يطلع الفلوس🤣🤣🤣,A B,UC1gsx9QgdiGFq7TMDJlxvDg,4 ay əvvəl,3,X3Lg1jjsxHk,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugx0TFPuvlqmdxwywVB4AaABAg,"Cool, but",Вероника Романова,UCfc1U_CpvPUrk0xheNTDb5A,1 il əvvəl,0,j4P3Z-HK3hw,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugzxxb68cBU5TERacNZ4AaABAg,The ice cream shirt is coppoied from Sara beauty corner,Archana pathakota,UC3MObsCRd44aalPWaiQTRFA,1 ay əvvəl,13,5ut9tUb5FQ8,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwRVs3BJT7l9ZHrJqF4AaABAg,Jus is lietuvos?,Gacha Potato,UCzvZ6uujMhLVL2gXerqOIag,1 ay əvvəl,0,5ut9tUb5FQ8,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwRVSBNnYVZDEdK5zx4AaABAg,Beautiful.,Sofia Sanjapova,UC9fAeeJLKgTy3Z_yRkfWAMw,1 il əvvəl,1,hoOd8pczNOg,2019-11-17 08:15:28.360,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwrVSxgkrz8iFm7Eo14AaABAg,BEAUTIFUL,marie demastes,UCKxWzRvH4PMBKELmGX9JvSA,1 il əvvəl,0,gU5p6061M34,2019-11-13 10:35:16.223,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgxT-oXTlIMlHoz-SPJ4AaABAg,انتى عامله حوجبك بدكس  مش حنه,Safaa Htu,UCQ8tmTXahVM6eMZo0YfPJJA,1 il əvvəl,10,6dRnzVxPRGg,2019-11-17 09:13:06.513,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgxToIea958N81IBonR4AaABAg,"this is hard to understand, but i will learn :D",MrJaysChannel,UCWJ6wuVq_fTemXYjX2nVmnQ,8 il əvvəl,0,25haxRuZQUk,2019-11-17 12:23:59.953,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugws3ENPYr556r8nUhB4AaABAg,gençlerin tepkisi - stolk 💜,Berra Fidanci,UCitgc737Z-76aaK8JuXuyig,2 il əvvəl,0,7ZTzvotLW5g,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwS3eUcM7REo5Xzggh4AaABAg,hiç sıkılmadan,FarZetki Gaming,UC1alGgtvxYuVnbPivAyCk6A,8 ay əvvəl,0,C5urNDRhlPI,2019-11-17 14:35:54.533,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
Ugws3F391DSl-2ZLLJJ4AaABAg,"Araba veya motosiklet servise veya ustaya kimseye bırakılmaz,ne yapılacaksa başında bekler görürsün",Volkan Donmez,UCNpMGwlfFEoJQ8Rj7XMvxLQ,1 ay əvvəl,0,DtE9c0jvY0c,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwS3ftLjOKm-RuEFTZ4AaABAg,вот это голос,Жора Жора,UCuHygcyBG8MuSvidyQ1YsDw,1 il əvvəl,1,bZfDZlwSDj4,2019-11-22 08:30:57.780,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgwfkLPnx2GyZ7FXpON4AaABAg,ölünce görürsün cem bey.,BENCE,UCZWOQPQ0sjj-35zqLZxwyjQ,6 il əvvəl,0,GrYIlVJaCSI,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzHGsgMXMmGVYbchaF4AaABAg,"Rahmetli Cumhurbaşkanı da test pilotluğunamı soyunmuş...be mübarek yaklaşık 50 metre git in ne zorluyorsun ki 100 metreyi! 0-100 km hız testi mi yapacaksın. ..hem o kadar tasarımcı mühendis vs uğraşacak araba yapacak, bir insan gelecek binecek 100 metre sonra ""Hımm bu olmamış, çabuk sökün parçalarını ben bunlarla daha sonra kendime mangal yapaciüüüm, diyecek sonra proje kaldırılacak...yeohh yeeeaauuu..bışşıh! Hadi ordan topik kavuk dingük....",Thrust2 Bloodhoundssc,UCGUo_dVg-h9nRH-Px0D3Jjg,1 il əvvəl,0,XLUFILQRqgU,2019-11-17 14:00:00.000,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzHgSGnjLuuXnlEUi14AaABAg,https://youtu.be/cVoCLZWF5AI,Reqqas İldirim,UCwmItO9-PF8I9LHplPMEUng,10 ay əvvəl,0,_WmPBXYH1v8,2019-11-17 16:00:01.413,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
UgzIHmaEukhKP9le6Ax4AaABAg,I never knew that in some places boys need to cut their hair to go to school 😮 we don't even have a school dress code here where I live.. you could go to school only wearing your underwear and no one would say a thing,Potato,UCuoQHYW3Q7n2fL_JxpuDOPQ,8 ay əvvəl (redaktə edilib),0,atquNd1JCEQ,2019-11-14 01:51:25.200,2026-07-23 06:36:38.705467,run_incremental_20260723_063626_8506
